Ticker
A1CAP
ACSEL
ADEL
ADESE
ADGYO
AEFES
AFYON
AGESA
AGHOL
AGYO
AHGAZ
AKBNK
AKCNS
AKENR
AKFGY
AKFYE
AKGRT
AKMGY
AKSA
AKSEN
AKSGY
AKSUE
AKYHO
ALARK
ALBRK
ALCAR
ALCTL
ALFAS
ALGYO
ALKA
ALKIM
ANELE
ANGEN
ANHYT
ANSGR
ARASE
ARCLK
ARDYZ
ARENA
ARSAN
ARZUM
ASELS
ASGYO
ASTOR
ASUZU
ATAGY
ATAKP
ATATP
ATEKS
ATLAS
ATSYH
AVGYO
AVHOL
AVOD
AVTUR
AYCES
AYDEM
AYEN
AYES
AYGAZ
AZTEK
BAGFS
BAKAB
BALAT
BANVT
BARMA
BASCM
BASGZ
BAYRK
BERA
BEYAZ
BFREN
BIENY
BIGCH
BIMAS
BIOEN
BIZIM
BLCYT
BMSCH
BMSTL
BNTAS
BOBET
BOSSA
BRISA
BRKO
BRKSN
BRKVY
BRLSM
BRMEN
BRSAN
BRYAT
BSOKE
BTCIM
BUCIM
BURCE
BURVA
BVSAN
BYDNR
CANTE
CASA
CCOLA
CELHA
CEMAS
CEMTS
CEOEM
CIMSA
CLEBI
CMBTN
CMENT
CONSE
COSMO
CRDFA
CRFSA
CUSAN
CVKMD
DAGI
DAPGM
DARDL
DENGE
DERHL
DERIM
DESA
DESPC
DEVA
DGATE
DGGYO
DGNMO
DIRIT
DITAS
DMRGD
DMSAS
DNISI
DOAS
DOGUB
DOHOL
DOKTA
DURDO
DYOBY
DZGYO
EBEBK
ECILC
ECZYT
EDATA
EDIP
EGEEN
EGEPO
EGGUB
EGPRO
EGSER
EKGYO
EKIZ
EKSUN
ELITE
EMKEL
EMNIS
ENERY
ENJSA
ENKAI
ENSRI
EPLAS
ERBOS
ERCB
EREGL
ERSU
ESCAR
ESCOM
ESEN
ETILR
ETYAT
EUHOL
EUKYO
EUPWR
EUREN
EUYO
EYGYO
FADE
FLAP
FMIZP
FONET
FORMT
FORTE
FRIGO
FROTO
FZLGY
GARAN
GARFA
GEDIK
GEDZA
GENIL
GENTS
GEREL
GESAN
GIPTA
GLBMD
GLCVY
GLRYH
GLYHO
GMTAS
GOKNR
GOLTS
GOODY
GOZDE
GRNYO
GRSEL
GSDDE
GSDHO
GUBRF
GWIND
GZNMI
HALKB
HATEK
HATSN
HDFGS
HEDEF
HEKTS
HKTM
HLGYO
HTTBT
HUBVC
HUNER
HURGZ
ICBCT
ICUGS
IDGYO
IEYHO
IHAAS
IHEVA
IHGZT
IHLAS
IHLGM
IHYAY
IMASM
INDES
INFO
INGRM
INTEM
INVEO
INVES
ISATR
ISBIR
ISBTR
ISCTR
ISDMR
ISFIN
ISGSY
ISGYO
ISKPL
ISKUR
ISMEN
ISSEN
ISYAT
IZENR
IZFAS
IZINV
IZMDC
JANTS
KAPLM
KAREL
KARSN
KARTN
KATMR
KCAER
KCHOL
KENT
KERVN
KFEIN
KGYO
KIMMR
KLGYO
KLKIM
KLMSN
KLNMA
KLRHO
KLSER
KLSYN
KMPUR
KNFRT
KONKA
KONTR
KONYA
KOPOL
KORDS
KRDMA
KRDMB
KRDMD
KRGYO
KRONT
KRPLS
KRSTL
KRTEK
KRVGD
KSTUR
KTLEV
KTSKR
KUTPO
KUVVA
KUYAS
KZBGY
KZGYO
LIDER
LIDFA
LINK
LKMNH
LOGO
LUKSK
MAALT
MACKO
MAGEN
MAKIM
MAKTK
MANAS
MARKA
MAVI
MEDTR
MEGAP
MEPET
MERCN
MERIT
METRO
MGROS
MIATK
MMCAS
MNDRS
MNDTR
MOBTL
MPARK
MRSHL
MSGYO
MTRKS
MTRYO
MZHLD
NATEN
NETAS
NIBAS
NTGAZ
NTHOL
NUGYO
NUHCM
OBASE
ODAS
ONCSM
ORCAY
ORGE
ORMA
OSMEN
OSTIM
OTKAR
OTTO
OYAKC
OYAYO
OYLUM
OYYAT
OZGYO
OZKGY
OZRDN
OZSUB
PAGYO
PAMEL
PAPIL
PARSN
PASEU
PCILT
PEKGY
PENGD
PENTA
PETKM
PETUN
PGSUS
PINSU
PKART
PKENT
PLTUR
PNLSN
PNSUT
POLHO
POLTK
PRDGS
PRKAB
PRKME
PRZMA
PSDTC
PSGYO
QUAGR
RALYH
RAYSG
REEDR
RNPOL
RODRG
RTALB
RUBNS
RYGYO
RYSAS
SAFKR
SAHOL
SAMAT
SANEL
SANFM
SANKO
SARKY
SASA
SAYAS
SDTTR
SEGYO
SEKFK
SEKUR
SELEC
SELVA
SEYKM
SILVR
SISE
SKBNK
SKTAS
SMART
SMRTG
SNGYO
SNICA
SNKRN
SNPAM
SODSN
SOKE
SOKM
SONME
SRVGY
SUMAS
SUNTK
SUWEN
TARKM
TATEN
TATGD
TAVHL
TBORG
TCELL
TDGYO
TEKTU
TERA
TEZOL
TGSAS
THYAO
TKFEN
TKNSA
TLMAN
TMPOL
TMSN
TNZTP
TOASO
TRCAS
TRGYO
TRILC
TSGYO
TSKB
TTKOM
TTRAK
TUCLK
TUKAS
TUPRS
TUREX
TURGG
TURSG
UFUK
ULAS
ULKER
ULUFA
ULUSE
ULUUN
UMPAS
UNLU
USAK
VAKBN
VAKFN
VAKKO
VANGD
VBTYZ
VERTU
VERUS
VESBE
VESTL
VKFYO
VKGYO
VKING
YAPRK
YATAS
YAYLA
YBTAS
YEOTK
YESIL
YGGYO
YGYO
YKBNK
YKSLN
YONGA
YUNSA
YYAPI
YYLGD
ZEDUR
ZELOT
ZGOLD
ZOREN
ZRGYO
